Framework,Benchmark,ProblemSize,Iteration,HostToDevice_ms,Kernel_ms,DeviceToHost_ms,Total_ms,Status
CUDA,MatrixMultiplication,128,1,0.074464,0.037696,0.033504,0.188402,PASS
CUDA,MatrixMultiplication,128,2,0.068096,0.038304,0.033312,0.181465,PASS
CUDA,MatrixMultiplication,128,3,0.071200,0.038144,0.035168,0.191077,PASS
CUDA,MatrixMultiplication,128,4,0.066624,0.037824,0.031040,0.176098,PASS
CUDA,MatrixMultiplication,128,5,0.065152,0.038112,0.032576,0.177037,PASS
CUDA,MatrixMultiplication,128,6,0.079104,0.041056,0.038080,0.210354,PASS
CUDA,MatrixMultiplication,128,7,0.067136,0.037984,0.031616,0.177972,PASS
CUDA,MatrixMultiplication,128,8,0.068128,0.037088,0.030496,0.177465,PASS
CUDA,MatrixMultiplication,128,9,0.066176,0.037120,0.030368,0.174993,PASS
CUDA,MatrixMultiplication,128,10,0.064640,0.037344,0.030752,0.172261,PASS
CUDA,MatrixMultiplication,128,11,0.063776,0.037792,0.030560,0.171058,PASS
CUDA,MatrixMultiplication,128,12,0.065312,0.038016,0.043072,0.188267,PASS
CUDA,MatrixMultiplication,128,13,0.065984,0.038016,0.030784,0.175906,PASS
CUDA,MatrixMultiplication,128,14,0.070272,0.037504,0.032192,0.180405,PASS
CUDA,MatrixMultiplication,128,15,0.071072,0.037504,0.030816,0.180206,PASS
CUDA,MatrixMultiplication,128,16,0.066304,0.038080,0.031424,0.178090,PASS
CUDA,MatrixMultiplication,128,17,0.067488,0.037952,0.031296,0.177247,PASS
CUDA,MatrixMultiplication,128,18,0.070336,0.036832,0.032128,0.180593,PASS
CUDA,MatrixMultiplication,128,19,0.066240,0.037440,0.031968,0.175765,PASS
CUDA,MatrixMultiplication,128,20,0.070304,0.037344,0.030720,0.179012,PASS
CUDA,MatrixMultiplication,128,21,0.067136,0.038208,0.031488,0.177656,PASS
CUDA,MatrixMultiplication,128,22,0.071104,0.038432,0.031040,0.180176,PASS
CUDA,MatrixMultiplication,128,23,0.066240,0.037760,0.030752,0.175895,PASS
CUDA,MatrixMultiplication,128,24,0.067200,0.037728,0.030752,0.175597,PASS
CUDA,MatrixMultiplication,128,25,0.070496,0.037728,0.031168,0.180128,PASS
CUDA,MatrixMultiplication,128,26,0.074112,0.040032,0.034144,0.197404,PASS
CUDA,MatrixMultiplication,128,27,0.066048,0.037600,0.031424,0.174722,PASS
CUDA,MatrixMultiplication,128,28,0.090016,0.038048,0.033024,0.203000,PASS
CUDA,MatrixMultiplication,128,29,0.070400,0.037344,0.031392,0.180513,PASS
CUDA,MatrixMultiplication,128,30,0.065888,0.037344,0.031168,0.174752,PASS
CUDA,MatrixMultiplication,256,1,0.177024,0.221088,0.082688,0.521880,PASS
CUDA,MatrixMultiplication,256,2,0.175872,0.220832,0.082912,0.519343,PASS
CUDA,MatrixMultiplication,256,3,0.173952,0.218144,0.082432,0.514120,PASS
CUDA,MatrixMultiplication,256,4,0.180768,0.220384,0.084864,0.527291,PASS
CUDA,MatrixMultiplication,256,5,0.178816,0.219488,0.082400,0.522782,PASS
CUDA,MatrixMultiplication,256,6,0.178496,0.220352,0.083808,0.523405,PASS
CUDA,MatrixMultiplication,256,7,0.179840,0.219936,0.083872,0.524951,PASS
CUDA,MatrixMultiplication,256,8,0.177632,0.220736,0.083648,0.522801,PASS
CUDA,MatrixMultiplication,256,9,0.184160,0.221024,0.083680,0.527843,PASS
CUDA,MatrixMultiplication,256,10,0.176288,0.220096,0.083200,0.521986,PASS
CUDA,MatrixMultiplication,256,11,0.177248,0.220320,0.084640,0.522597,PASS
CUDA,MatrixMultiplication,256,12,0.179136,0.221184,0.091104,0.535013,PASS
CUDA,MatrixMultiplication,256,13,0.179168,0.222208,0.083520,0.526048,PASS
CUDA,MatrixMultiplication,256,14,0.172896,0.221664,0.083104,0.519328,PASS
CUDA,MatrixMultiplication,256,15,0.179168,0.220096,0.103616,0.551223,PASS
CUDA,MatrixMultiplication,256,16,0.176224,0.219840,0.083168,0.521116,PASS
CUDA,MatrixMultiplication,256,17,0.177440,0.221024,0.083680,0.523228,PASS
CUDA,MatrixMultiplication,256,18,0.177824,0.220224,0.084480,0.525930,PASS
CUDA,MatrixMultiplication,256,19,0.176160,0.220768,0.083584,0.522169,PASS
CUDA,MatrixMultiplication,256,20,0.178496,0.219296,0.082784,0.521789,PASS
CUDA,MatrixMultiplication,256,21,0.177760,0.220192,0.083104,0.521375,PASS
CUDA,MatrixMultiplication,256,22,0.177376,0.220032,0.116352,0.554964,PASS
CUDA,MatrixMultiplication,256,23,0.176896,0.221440,0.084352,0.524826,PASS
CUDA,MatrixMultiplication,256,24,0.175936,0.220000,0.082560,0.519400,PASS
CUDA,MatrixMultiplication,256,25,0.180992,0.220416,0.083584,0.525757,PASS
CUDA,MatrixMultiplication,256,26,0.177504,0.217792,0.082848,0.529418,PASS
CUDA,MatrixMultiplication,256,27,0.178016,0.219776,0.084320,0.523004,PASS
CUDA,MatrixMultiplication,256,28,0.180416,0.220864,0.083392,0.525818,PASS
CUDA,MatrixMultiplication,256,29,0.177856,0.221152,0.082528,0.524713,PASS
CUDA,MatrixMultiplication,256,30,0.174848,0.220224,0.084864,0.521582,PASS
CUDA,MatrixMultiplication,512,1,0.689408,1.636640,0.286880,2.658612,PASS
CUDA,MatrixMultiplication,512,2,0.698304,1.638592,0.298048,2.682713,PASS
CUDA,MatrixMultiplication,512,3,0.731360,1.639584,0.287648,2.706157,PASS
CUDA,MatrixMultiplication,512,4,0.696352,1.635072,0.305760,2.685817,PASS
CUDA,MatrixMultiplication,512,5,0.701184,1.637216,0.292032,2.676659,PASS
CUDA,MatrixMultiplication,512,6,0.695168,1.633632,0.296032,2.673286,PASS
CUDA,MatrixMultiplication,512,7,0.705792,1.636864,0.292288,2.681255,PASS
CUDA,MatrixMultiplication,512,8,0.700160,1.634976,0.295424,2.677431,PASS
CUDA,MatrixMultiplication,512,9,0.725376,1.638048,0.294912,2.705285,PASS
CUDA,MatrixMultiplication,512,10,0.684032,1.636384,0.299616,2.677147,PASS
CUDA,MatrixMultiplication,512,11,0.689728,1.637056,0.296704,2.669270,PASS
CUDA,MatrixMultiplication,512,12,0.716896,1.634528,0.291392,2.691070,PASS
CUDA,MatrixMultiplication,512,13,0.700736,1.635072,0.291776,2.675896,PASS
CUDA,MatrixMultiplication,512,14,0.695072,1.647200,0.289856,2.683262,PASS
CUDA,MatrixMultiplication,512,15,0.700320,1.636544,0.296704,2.680991,PASS
CUDA,MatrixMultiplication,512,16,0.706112,1.635232,0.304064,2.694606,PASS
CUDA,MatrixMultiplication,512,17,1.053600,1.636224,0.702656,3.445583,PASS
CUDA,MatrixMultiplication,512,18,0.705504,1.635712,0.296864,2.687054,PASS
CUDA,MatrixMultiplication,512,19,0.702656,1.639232,0.287872,2.676292,PASS
CUDA,MatrixMultiplication,512,20,0.704480,1.642080,0.304000,2.699570,PASS
CUDA,MatrixMultiplication,512,21,0.700480,1.638112,0.291168,2.678935,PASS
CUDA,MatrixMultiplication,512,22,0.690368,1.638880,0.296192,2.670541,PASS
CUDA,MatrixMultiplication,512,23,0.706656,1.638944,0.303104,2.698026,PASS
CUDA,MatrixMultiplication,512,24,0.698464,1.634144,0.291424,2.671727,PASS
CUDA,MatrixMultiplication,512,25,0.710464,1.633824,0.294464,2.684619,PASS
CUDA,MatrixMultiplication,512,26,0.694176,1.635616,0.300896,2.677774,PASS
CUDA,MatrixMultiplication,512,27,0.698976,1.639296,0.294016,2.680062,PASS
CUDA,MatrixMultiplication,512,28,0.704576,1.639904,0.292064,2.683635,PASS
CUDA,MatrixMultiplication,512,29,0.723424,1.636384,0.290496,2.697484,PASS
CUDA,MatrixMultiplication,512,30,0.694016,1.635424,0.305248,2.682140,PASS
CUDA,MatrixMultiplication,1024,1,1.813216,13.039808,0.784672,15.689459,PASS
CUDA,MatrixMultiplication,1024,2,1.816640,13.020704,0.766336,15.653935,PASS
CUDA,MatrixMultiplication,1024,3,1.883104,13.026144,0.760480,15.720961,PASS
CUDA,MatrixMultiplication,1024,4,1.770784,13.022208,0.763744,15.603734,PASS
CUDA,MatrixMultiplication,1024,5,1.839968,13.030304,0.768032,15.687081,PASS
CUDA,MatrixMultiplication,1024,6,1.808736,13.023744,0.759936,15.642957,PASS
CUDA,MatrixMultiplication,1024,7,1.834368,13.042912,0.768416,15.696562,PASS
CUDA,MatrixMultiplication,1024,8,1.787040,13.065184,0.760544,15.663471,PASS
CUDA,MatrixMultiplication,1024,9,1.824320,13.025632,0.759744,15.659239,PASS
CUDA,MatrixMultiplication,1024,10,1.765568,13.042944,0.760320,15.619952,PASS
CUDA,MatrixMultiplication,1024,11,1.797888,13.045632,0.763552,15.656620,PASS
CUDA,MatrixMultiplication,1024,12,1.793440,13.018784,0.766304,15.634816,PASS
CUDA,MatrixMultiplication,1024,13,1.797888,13.041088,0.819424,15.708454,PASS
CUDA,MatrixMultiplication,1024,14,1.807456,13.039584,0.759104,15.656543,PASS
CUDA,MatrixMultiplication,1024,15,1.773184,13.036416,0.759328,15.616253,PASS
CUDA,MatrixMultiplication,1024,16,1.783648,13.024960,0.759200,15.615341,PASS
CUDA,MatrixMultiplication,1024,17,1.791680,13.031168,0.762336,15.634147,PASS
CUDA,MatrixMultiplication,1024,18,1.776000,13.022944,0.796672,15.645833,PASS
CUDA,MatrixMultiplication,1024,19,1.796000,13.017120,0.760928,15.623426,PASS
CUDA,MatrixMultiplication,1024,20,1.807360,13.018560,0.761440,15.638059,PASS
CUDA,MatrixMultiplication,1024,21,1.778080,13.037536,0.764672,15.630908,PASS
CUDA,MatrixMultiplication,1024,22,1.786464,13.023104,0.761536,15.619346,PASS
CUDA,MatrixMultiplication,1024,23,1.827168,13.043104,0.762912,15.680711,PASS
CUDA,MatrixMultiplication,1024,24,1.769536,13.036704,0.763936,15.619807,PASS
CUDA,MatrixMultiplication,1024,25,1.797472,13.032448,0.760768,15.639452,PASS
CUDA,MatrixMultiplication,1024,26,1.808032,13.047424,0.762272,15.666722,PASS
CUDA,MatrixMultiplication,1024,27,1.795296,13.017408,0.757248,15.619713,PASS
CUDA,MatrixMultiplication,1024,28,1.828864,13.027456,0.764640,15.668916,PASS
CUDA,MatrixMultiplication,1024,29,1.841728,13.021184,0.762752,15.676371,PASS
CUDA,MatrixMultiplication,1024,30,1.799968,13.035616,0.766784,15.662707,PASS
CUDA,MatrixMultiplication,2048,1,7.854208,104.570114,2.639008,115.117690,PASS
CUDA,MatrixMultiplication,2048,2,7.828064,104.666595,6.287168,118.875986,PASS
CUDA,MatrixMultiplication,2048,3,7.854848,96.746307,6.367296,111.055927,PASS
CUDA,MatrixMultiplication,2048,4,8.320608,97.613312,2.648512,108.643579,PASS
CUDA,MatrixMultiplication,2048,5,7.825792,97.430878,2.640448,107.951304,PASS
CUDA,MatrixMultiplication,2048,6,7.873216,97.207550,2.652064,107.787574,PASS
CUDA,MatrixMultiplication,2048,7,7.847200,104.515388,6.298528,118.748696,PASS
CUDA,MatrixMultiplication,2048,8,7.982528,97.421822,2.746592,108.207085,PASS
CUDA,MatrixMultiplication,2048,9,7.787008,97.111069,7.062368,112.026510,PASS
CUDA,MatrixMultiplication,2048,10,7.852896,97.126526,6.414912,111.486945,PASS
CUDA,MatrixMultiplication,2048,11,7.923744,97.339905,2.668288,107.989766,PASS
CUDA,MatrixMultiplication,2048,12,7.903264,97.061119,6.346144,111.402090,PASS
CUDA,MatrixMultiplication,2048,13,7.867296,97.295998,6.256288,111.510471,PASS
CUDA,MatrixMultiplication,2048,14,7.928544,97.343842,6.368928,111.733408,PASS
CUDA,MatrixMultiplication,2048,15,7.839552,97.280579,2.662624,107.838525,PASS
CUDA,MatrixMultiplication,2048,16,7.946496,97.132835,2.664864,107.795914,PASS
CUDA,MatrixMultiplication,2048,17,7.892448,97.492416,2.664416,108.100657,PASS
CUDA,MatrixMultiplication,2048,18,7.928768,97.602974,2.636608,108.222094,PASS
CUDA,MatrixMultiplication,2048,19,7.868032,97.338173,2.683328,107.942334,PASS
CUDA,MatrixMultiplication,2048,20,7.916768,97.329346,6.409568,111.743365,PASS
CUDA,MatrixMultiplication,2048,21,7.866368,97.335548,6.324800,111.614284,PASS
CUDA,MatrixMultiplication,2048,22,7.998432,97.200287,5.962976,111.225771,PASS
CUDA,MatrixMultiplication,2048,23,7.862656,97.454819,6.364768,111.770045,PASS
CUDA,MatrixMultiplication,2048,24,7.852512,97.334145,2.652736,107.891341,PASS
CUDA,MatrixMultiplication,2048,25,7.860544,97.465347,6.383104,111.796465,PASS
CUDA,MatrixMultiplication,2048,26,7.801664,97.085983,2.659552,107.600145,PASS
CUDA,MatrixMultiplication,2048,27,7.961312,97.233826,2.640224,107.887280,PASS
CUDA,MatrixMultiplication,2048,28,7.811424,97.370560,6.391648,111.663652,PASS
CUDA,MatrixMultiplication,2048,29,8.023136,97.729729,6.270144,112.108885,PASS
CUDA,MatrixMultiplication,2048,30,7.927648,104.813377,2.655488,115.458981,PASS
