Framework,Benchmark,ProblemSize,Iteration,HostToDevice_ms,Kernel_ms,DeviceToHost_ms,Total_ms,Status
CUDA,Reduction,100000,1,0.157024,0.044800,0.012480,0.295708,PASS
CUDA,Reduction,100000,2,0.162336,0.043776,0.012928,0.269042,PASS
CUDA,Reduction,100000,3,0.151776,0.042656,0.011872,0.250821,PASS
CUDA,Reduction,100000,4,0.142976,0.042880,0.010752,0.237596,PASS
CUDA,Reduction,100000,5,0.146752,0.042880,0.010784,0.241595,PASS
CUDA,Reduction,100000,6,0.147552,0.042560,0.010624,0.243166,PASS
CUDA,Reduction,100000,7,0.149280,0.043360,0.010976,0.247842,PASS
CUDA,Reduction,100000,8,0.161568,0.045024,0.012704,0.268861,PASS
CUDA,Reduction,100000,9,0.149760,0.043584,0.010912,0.248760,PASS
CUDA,Reduction,100000,10,0.156800,0.043488,0.011552,0.255957,PASS
CUDA,Reduction,100000,11,0.150080,0.043232,0.010656,0.246242,PASS
CUDA,Reduction,100000,12,0.150464,0.043520,0.010880,0.247463,PASS
CUDA,Reduction,100000,13,0.149376,0.043680,0.011968,0.260816,PASS
CUDA,Reduction,100000,14,0.148384,0.043392,0.011104,0.246444,PASS
CUDA,Reduction,100000,15,0.187296,0.043552,0.011936,0.288634,PASS
CUDA,Reduction,100000,16,0.151808,0.043456,0.011360,0.250423,PASS
CUDA,Reduction,100000,17,0.148640,0.043136,0.010880,0.248344,PASS
CUDA,Reduction,100000,18,0.148704,0.043200,0.011328,0.246353,PASS
CUDA,Reduction,100000,19,0.162176,0.044544,0.012768,0.267955,PASS
CUDA,Reduction,100000,20,0.151808,0.043392,0.011008,0.249920,PASS
CUDA,Reduction,100000,21,0.150080,0.052288,0.011328,0.261363,PASS
CUDA,Reduction,100000,22,0.152128,0.044224,0.011616,0.252666,PASS
CUDA,Reduction,100000,23,0.147552,0.043584,0.010720,0.244200,PASS
CUDA,Reduction,100000,24,0.156224,0.043456,0.011168,0.252596,PASS
CUDA,Reduction,100000,25,0.148128,0.043040,0.010848,0.247717,PASS
CUDA,Reduction,100000,26,0.152544,0.042592,0.010784,0.249589,PASS
CUDA,Reduction,100000,27,0.152864,0.043488,0.011296,0.252914,PASS
CUDA,Reduction,100000,28,0.153728,0.044160,0.013056,0.262550,PASS
CUDA,Reduction,100000,29,0.150688,0.042784,0.011008,0.247294,PASS
CUDA,Reduction,100000,30,0.155712,0.043360,0.011840,0.277224,PASS
CUDA,Reduction,500000,1,0.608896,0.053856,0.011392,0.718986,PASS
CUDA,Reduction,500000,2,0.559584,0.053408,0.010784,0.668967,PASS
CUDA,Reduction,500000,3,0.551712,0.053504,0.011360,0.661310,PASS
CUDA,Reduction,500000,4,0.555744,0.053600,0.011104,0.665654,PASS
CUDA,Reduction,500000,5,0.548160,0.053632,0.011680,0.678832,PASS
CUDA,Reduction,500000,6,0.556480,0.053088,0.011360,0.662812,PASS
CUDA,Reduction,500000,7,0.553728,0.053984,0.011424,0.664603,PASS
CUDA,Reduction,500000,8,0.573600,0.053696,0.011680,0.681375,PASS
CUDA,Reduction,500000,9,0.556192,0.053440,0.012288,0.665655,PASS
CUDA,Reduction,500000,10,0.565568,0.053952,0.011136,0.682800,PASS
CUDA,Reduction,500000,11,0.554976,0.054208,0.011168,0.662865,PASS
CUDA,Reduction,500000,12,0.556544,0.053984,0.010912,0.663147,PASS
CUDA,Reduction,500000,13,0.553792,0.053504,0.011392,0.660979,PASS
CUDA,Reduction,500000,14,0.558304,0.053472,0.011360,0.665032,PASS
CUDA,Reduction,500000,15,0.542432,0.053248,0.011360,0.650346,PASS
CUDA,Reduction,500000,16,0.540352,0.053632,0.028224,0.663726,PASS
CUDA,Reduction,500000,17,0.551168,0.053920,0.011456,0.657865,PASS
CUDA,Reduction,500000,18,0.559008,0.053984,0.011552,0.670504,PASS
CUDA,Reduction,500000,19,0.558880,0.053376,0.011136,0.668830,PASS
CUDA,Reduction,500000,20,0.563392,0.053344,0.011584,0.673401,PASS
CUDA,Reduction,500000,21,0.606656,0.053792,0.011200,0.715490,PASS
CUDA,Reduction,500000,22,0.550880,0.053792,0.011296,0.662613,PASS
CUDA,Reduction,500000,23,0.554112,0.054816,0.010976,0.666324,PASS
CUDA,Reduction,500000,24,0.560800,0.054464,0.011264,0.667582,PASS
CUDA,Reduction,500000,25,0.573888,0.053824,0.011072,0.696361,PASS
CUDA,Reduction,500000,26,0.556288,0.054720,0.011136,0.663784,PASS
CUDA,Reduction,500000,27,0.543200,0.053088,0.011040,0.649063,PASS
CUDA,Reduction,500000,28,0.574368,0.053184,0.011424,0.680947,PASS
CUDA,Reduction,500000,29,0.560992,0.053312,0.011552,0.672691,PASS
CUDA,Reduction,500000,30,0.572896,0.052992,0.011168,0.682751,PASS
CUDA,Reduction,1000000,1,0.920128,0.105536,0.011072,1.083123,PASS
CUDA,Reduction,1000000,2,0.912768,0.106144,0.011392,1.079856,PASS
CUDA,Reduction,1000000,3,0.932928,0.106080,0.012000,1.106697,PASS
CUDA,Reduction,1000000,4,0.948480,0.106112,0.010912,1.106542,PASS
CUDA,Reduction,1000000,5,0.905408,0.105760,0.011168,1.063097,PASS
CUDA,Reduction,1000000,6,0.908448,0.105440,0.011168,1.070319,PASS
CUDA,Reduction,1000000,7,0.940096,0.104736,0.011584,1.101169,PASS
CUDA,Reduction,1000000,8,0.909760,0.105088,0.011360,1.069457,PASS
CUDA,Reduction,1000000,9,0.919040,0.107200,0.012000,1.081366,PASS
CUDA,Reduction,1000000,10,0.942688,0.105568,0.011680,1.114056,PASS
CUDA,Reduction,1000000,11,0.920896,0.105344,0.011392,1.083993,PASS
CUDA,Reduction,1000000,12,0.906048,0.105408,0.010944,1.076868,PASS
CUDA,Reduction,1000000,13,0.928000,0.104416,0.011552,1.096129,PASS
CUDA,Reduction,1000000,14,0.916160,0.105984,0.011488,1.086452,PASS
CUDA,Reduction,1000000,15,0.920192,0.105024,0.011712,1.083725,PASS
CUDA,Reduction,1000000,16,0.919264,0.105152,0.011072,1.087825,PASS
CUDA,Reduction,1000000,17,0.919648,0.104640,0.011552,1.091822,PASS
CUDA,Reduction,1000000,18,0.909088,0.104192,0.010880,1.076259,PASS
CUDA,Reduction,1000000,19,0.921952,0.105120,0.011200,1.092220,PASS
CUDA,Reduction,1000000,20,0.934464,0.115584,0.011712,1.115439,PASS
CUDA,Reduction,1000000,21,0.911296,0.105280,0.011584,1.070676,PASS
