Framework,Benchmark,ProblemSize,Iteration,HostToDevice_ms,Kernel_ms,DeviceToHost_ms,Total_ms,Status
CUDA,VectorAddition,100000,1,0.299328,0.021056,0.137728,0.512574,PASS
CUDA,VectorAddition,100000,2,0.286048,0.062592,0.121152,0.657637,PASS
CUDA,VectorAddition,100000,3,0.278080,0.019232,0.139264,0.485044,PASS
CUDA,VectorAddition,100000,4,0.258208,0.018176,0.122880,0.442685,PASS
CUDA,VectorAddition,100000,5,0.292192,0.020640,0.143904,0.511596,PASS
CUDA,VectorAddition,100000,6,0.270816,0.017952,0.129312,0.463750,PASS
CUDA,VectorAddition,100000,7,0.284832,0.018400,0.143680,0.491467,PASS
CUDA,VectorAddition,100000,8,0.257344,0.018208,0.125440,0.443301,PASS
CUDA,VectorAddition,100000,9,0.256608,0.061536,0.133632,0.632588,PASS
CUDA,VectorAddition,100000,10,0.257664,0.061888,0.136704,0.556798,PASS
CUDA,VectorAddition,100000,11,0.257568,0.018464,0.121184,0.441802,PASS
CUDA,VectorAddition,100000,12,0.262176,0.018944,0.116128,0.441660,PASS
CUDA,VectorAddition,100000,13,0.261408,0.018048,0.117856,0.440010,PASS
CUDA,VectorAddition,100000,14,0.261248,0.018432,0.135872,0.458593,PASS
CUDA,VectorAddition,100000,15,0.254912,0.018592,0.120416,0.436934,PASS
CUDA,VectorAddition,100000,16,0.286944,0.018592,0.136128,0.488575,PASS
CUDA,VectorAddition,100000,17,0.281120,0.019616,0.125920,0.479238,PASS
CUDA,VectorAddition,100000,18,0.272064,0.018528,0.111968,0.445096,PASS
CUDA,VectorAddition,100000,19,0.267616,0.070080,0.127200,0.686024,PASS
CUDA,VectorAddition,100000,20,0.263328,0.061632,0.122688,0.536363,PASS
CUDA,VectorAddition,100000,21,0.262144,0.018176,0.122208,0.445216,PASS
CUDA,VectorAddition,100000,22,0.257024,0.020448,0.123264,0.444390,PASS
CUDA,VectorAddition,100000,23,0.269824,0.018944,0.115904,0.447393,PASS
CUDA,VectorAddition,100000,24,0.255936,0.019008,0.122144,0.439731,PASS
CUDA,VectorAddition,100000,25,0.259840,0.019104,0.133376,0.454786,PASS
CUDA,VectorAddition,100000,26,0.294944,0.020000,0.128192,0.495479,PASS
CUDA,VectorAddition,100000,27,0.263936,0.017920,0.118816,0.442333,PASS
CUDA,VectorAddition,100000,28,0.317600,0.018528,0.122624,0.504021,PASS
CUDA,VectorAddition,100000,29,0.283424,0.020064,0.117792,0.476917,PASS
CUDA,VectorAddition,100000,30,0.264192,0.018304,0.143584,0.469647,PASS
CUDA,VectorAddition,500000,1,1.041888,0.099904,0.434720,1.627852,PASS
CUDA,VectorAddition,500000,2,0.979264,0.100224,0.424128,1.552719,PASS
CUDA,VectorAddition,500000,3,0.980384,0.100480,0.417568,1.545647,PASS
CUDA,VectorAddition,500000,4,1.016640,0.100160,0.408704,1.572273,PASS
CUDA,VectorAddition,500000,5,1.009024,0.146112,0.442336,1.831221,PASS
CUDA,VectorAddition,500000,6,0.973248,0.100640,0.427648,1.550228,PASS
CUDA,VectorAddition,500000,7,0.977824,0.099776,0.421952,1.546973,PASS
CUDA,VectorAddition,500000,8,1.007904,0.102080,0.440800,1.600359,PASS
CUDA,VectorAddition,500000,9,1.005856,0.146080,0.424864,1.669859,PASS
CUDA,VectorAddition,500000,10,0.993760,0.098688,0.424544,1.564246,PASS
CUDA,VectorAddition,500000,11,0.972096,0.098528,0.423264,1.546355,PASS
CUDA,VectorAddition,500000,12,1.024672,0.100096,0.424736,1.598579,PASS
CUDA,VectorAddition,500000,13,1.075840,0.097408,0.415808,1.640508,PASS
CUDA,VectorAddition,500000,14,1.029664,0.099456,0.414240,1.594298,PASS
CUDA,VectorAddition,500000,15,0.973248,0.098560,0.425376,1.545537,PASS
CUDA,VectorAddition,500000,16,0.978272,0.099584,0.433344,1.559542,PASS
CUDA,VectorAddition,500000,17,0.961632,0.099936,0.429600,1.542183,PASS
CUDA,VectorAddition,500000,18,1.044576,0.098464,0.417792,1.628070,PASS
CUDA,VectorAddition,500000,19,0.987104,0.174176,0.433472,1.685146,PASS
CUDA,VectorAddition,500000,20,0.984480,0.101920,0.425216,1.560241,PASS
CUDA,VectorAddition,500000,21,0.971072,0.098880,0.421600,1.540569,PASS
CUDA,VectorAddition,500000,22,1.147808,0.098752,0.405088,1.701576,PASS
CUDA,VectorAddition,500000,23,1.175456,0.102528,0.437664,1.772165,PASS
CUDA,VectorAddition,500000,24,0.984736,0.099520,0.426016,1.559908,PASS
CUDA,VectorAddition,500000,25,0.974752,0.097792,0.423360,1.544423,PASS
CUDA,VectorAddition,500000,26,0.979584,0.099392,0.417728,1.545155,PASS
CUDA,VectorAddition,500000,27,1.005184,0.185760,0.434336,1.822499,PASS
CUDA,VectorAddition,500000,28,1.069664,0.099488,0.408352,1.631264,PASS
CUDA,VectorAddition,500000,29,0.980832,0.098400,0.419424,1.546184,PASS
CUDA,VectorAddition,500000,30,1.034528,0.104000,0.424896,1.623998,PASS
CUDA,VectorAddition,1000000,1,1.715872,0.191520,0.713600,2.672894,PASS
CUDA,VectorAddition,1000000,2,2.067872,0.238464,0.706336,3.250932,PASS
CUDA,VectorAddition,1000000,3,1.676832,0.190912,0.708736,2.624323,PASS
CUDA,VectorAddition,1000000,4,1.824352,0.247424,0.763616,3.070385,PASS
CUDA,VectorAddition,1000000,5,1.770240,0.190496,0.729952,2.739513,PASS
CUDA,VectorAddition,1000000,6,1.918688,0.194848,0.704864,2.865319,PASS
CUDA,VectorAddition,1000000,7,1.682912,0.190752,0.705760,2.627727,PASS
CUDA,VectorAddition,1000000,8,1.719616,0.190720,0.699744,2.660820,PASS
CUDA,VectorAddition,1000000,9,1.720000,0.236128,0.747104,2.796097,PASS
CUDA,VectorAddition,1000000,10,2.008928,0.194368,0.717504,2.981263,PASS
CUDA,VectorAddition,1000000,11,1.700704,0.190560,0.720928,2.661774,PASS
CUDA,VectorAddition,1000000,12,1.696224,0.192480,0.730112,2.667789,PASS
CUDA,VectorAddition,1000000,13,1.731392,0.191488,0.702176,2.675134,PASS
CUDA,VectorAddition,1000000,14,1.852544,0.237504,0.736768,2.920545,PASS
CUDA,VectorAddition,1000000,15,1.948640,0.197568,0.739104,2.947151,PASS
CUDA,VectorAddition,1000000,16,1.710976,0.193600,0.708128,2.662976,PASS
CUDA,VectorAddition,1000000,17,1.708416,0.194976,0.720512,2.673892,PASS
CUDA,VectorAddition,1000000,18,1.825856,0.196416,0.715264,2.787717,PASS
CUDA,VectorAddition,1000000,19,1.809216,0.197920,0.737472,2.798026,PASS
CUDA,VectorAddition,1000000,20,1.702464,0.193280,0.718048,2.661176,PASS
CUDA,VectorAddition,1000000,21,1.676128,0.189824,0.720544,2.636263,PASS
CUDA,VectorAddition,1000000,22,1.702688,0.192096,0.712640,2.655234,PASS
CUDA,VectorAddition,1000000,23,1.947264,0.233824,0.760160,3.043353,PASS
CUDA,VectorAddition,1000000,24,1.697056,0.210144,0.714496,2.670748,PASS
CUDA,VectorAddition,1000000,25,1.708416,0.196224,0.703872,2.657382,PASS
CUDA,VectorAddition,1000000,26,1.715008,0.191104,0.711072,2.668513,PASS
CUDA,VectorAddition,1000000,27,1.962400,0.194048,0.706720,2.915549,PASS
CUDA,VectorAddition,1000000,28,1.763104,0.236064,0.716864,2.933860,PASS
CUDA,VectorAddition,1000000,29,1.701248,0.191552,0.709920,2.653800,PASS
CUDA,VectorAddition,1000000,30,1.707296,0.196032,0.722432,2.676198,PASS
CUDA,VectorAddition,5000000,1,9.671616,0.988800,3.141088,13.858557,PASS
CUDA,VectorAddition,5000000,2,9.547392,0.929376,3.136608,13.666110,PASS
CUDA,VectorAddition,5000000,3,10.271936,0.927104,3.231936,14.483638,PASS
CUDA,VectorAddition,5000000,4,10.052608,0.976800,3.128096,14.255218,PASS
CUDA,VectorAddition,5000000,5,10.357792,0.968000,3.185984,14.770603,PASS
CUDA,VectorAddition,5000000,6,9.621984,0.929216,3.114688,13.719808,PASS
CUDA,VectorAddition,5000000,7,9.658400,0.925056,3.130048,13.768552,PASS
CUDA,VectorAddition,5000000,8,10.040800,0.966976,3.133984,14.458716,PASS
CUDA,VectorAddition,5000000,9,9.565952,0.921792,3.116000,13.657147,PASS
CUDA,VectorAddition,5000000,10,9.759424,0.925856,3.146912,13.885538,PASS
CUDA,VectorAddition,5000000,11,9.974816,0.965248,3.188832,14.425513,PASS
CUDA,VectorAddition,5000000,12,9.774336,0.927360,3.122080,13.878456,PASS
CUDA,VectorAddition,5000000,13,9.708480,0.928128,3.115552,13.806340,PASS
CUDA,VectorAddition,5000000,14,10.192544,1.000032,3.180128,14.439456,PASS
CUDA,VectorAddition,5000000,15,9.465632,0.927168,3.152704,13.600921,PASS
CUDA,VectorAddition,5000000,16,9.644896,0.928960,3.134336,13.765967,PASS
CUDA,VectorAddition,5000000,17,9.726112,0.923808,3.144672,13.850304,PASS
CUDA,VectorAddition,5000000,18,9.453120,0.922880,3.131072,13.558448,PASS
CUDA,VectorAddition,5000000,19,9.609184,0.921632,3.119424,13.705392,PASS
CUDA,VectorAddition,5000000,20,9.676736,1.055776,3.116288,13.908512,PASS
CUDA,VectorAddition,5000000,21,9.670144,0.924512,3.166432,13.815902,PASS
CUDA,VectorAddition,5000000,22,9.592928,0.959776,3.134336,13.755961,PASS
CUDA,VectorAddition,5000000,23,9.670944,0.927040,3.178336,13.833857,PASS
CUDA,VectorAddition,5000000,24,9.714624,0.978368,3.156576,14.090426,PASS
CUDA,VectorAddition,5000000,25,9.632992,0.925568,3.147648,13.759401,PASS
CUDA,VectorAddition,5000000,26,9.685600,0.936224,3.128256,13.802693,PASS
CUDA,VectorAddition,5000000,27,10.436448,0.979008,3.195008,14.709254,PASS
CUDA,VectorAddition,5000000,28,9.520224,0.924736,3.115488,13.611030,PASS
CUDA,VectorAddition,5000000,29,10.109568,0.925056,3.146432,14.234051,PASS
CUDA,VectorAddition,5000000,30,9.651776,0.923264,3.117696,13.750225,PASS
CUDA,VectorAddition,10000000,1,18.582592,1.866848,6.209632,26.723911,PASS
CUDA,VectorAddition,10000000,2,18.676479,2.176800,6.183616,27.303013,PASS
CUDA,VectorAddition,10000000,3,18.703424,1.896192,6.129856,26.838345,PASS
CUDA,VectorAddition,10000000,4,18.726273,1.864704,6.153728,26.814181,PASS
CUDA,VectorAddition,10000000,5,19.275711,2.158752,6.210496,27.906671,PASS
CUDA,VectorAddition,10000000,6,18.543903,1.895136,6.163648,26.672575,PASS
CUDA,VectorAddition,10000000,7,18.538912,1.927072,6.126816,26.664654,PASS
CUDA,VectorAddition,10000000,8,18.475168,1.858496,6.186048,26.581541,PASS
CUDA,VectorAddition,10000000,9,19.214945,1.850272,6.319264,27.444248,PASS
CUDA,VectorAddition,10000000,10,18.737600,1.859776,6.138528,26.803609,PASS
CUDA,VectorAddition,10000000,11,18.845312,1.972256,6.124608,27.048752,PASS
CUDA,VectorAddition,10000000,12,18.554272,1.850336,6.140256,26.611785,PASS
CUDA,VectorAddition,10000000,13,19.484192,2.163680,6.218560,28.107305,PASS
CUDA,VectorAddition,10000000,14,18.986303,1.900416,6.129920,27.128472,PASS
CUDA,VectorAddition,10000000,15,18.637983,1.853792,6.136352,26.696531,PASS
CUDA,VectorAddition,10000000,16,18.784161,2.116928,6.256768,27.403752,PASS
CUDA,VectorAddition,10000000,17,19.034336,1.851328,6.146880,27.101141,PASS
CUDA,VectorAddition,10000000,18,18.820448,1.905568,6.126528,26.956841,PASS
CUDA,VectorAddition,10000000,19,18.631744,1.858528,6.153120,26.708766,PASS
CUDA,VectorAddition,10000000,20,18.717567,1.847872,6.204064,26.840041,PASS
