Framework,Benchmark,ProblemSize,Iteration,HostToDevice_ms,Kernel_ms,DeviceToHost_ms,Total_ms,Status
OpenCL,MatrixMultiplication,128,1,0.020832,0.036672,0.010560,0.260505,PASS
OpenCL,MatrixMultiplication,128,2,0.020448,0.036960,0.010528,0.251552,PASS
OpenCL,MatrixMultiplication,128,3,0.020512,0.037184,0.010528,0.261704,PASS
OpenCL,MatrixMultiplication,128,4,0.020576,0.037056,0.010656,0.252267,PASS
OpenCL,MatrixMultiplication,128,5,0.020416,0.036480,0.010560,0.264143,PASS
OpenCL,MatrixMultiplication,128,6,0.020416,0.036960,0.010496,0.252916,PASS
OpenCL,MatrixMultiplication,128,7,0.020544,0.036608,0.010528,0.253692,PASS
OpenCL,MatrixMultiplication,128,8,0.020352,0.037184,0.010528,0.252110,PASS
OpenCL,MatrixMultiplication,128,9,0.020480,0.036928,0.010528,0.251255,PASS
OpenCL,MatrixMultiplication,128,10,0.020576,0.036640,0.010528,0.253076,PASS
OpenCL,MatrixMultiplication,128,11,0.020416,0.036960,0.010528,0.251121,PASS
OpenCL,MatrixMultiplication,128,12,0.020448,0.036864,0.010496,0.288130,PASS
OpenCL,MatrixMultiplication,128,13,0.020448,0.036736,0.010528,0.249829,PASS
OpenCL,MatrixMultiplication,128,14,0.020448,0.037280,0.010496,0.253998,PASS
OpenCL,MatrixMultiplication,128,15,0.020448,0.037344,0.010528,0.252001,PASS
OpenCL,MatrixMultiplication,128,16,0.020448,0.036896,0.010560,0.255360,PASS
OpenCL,MatrixMultiplication,128,17,0.020544,0.036832,0.010496,0.249767,PASS
OpenCL,MatrixMultiplication,128,18,0.020416,0.036736,0.010464,0.248558,PASS
OpenCL,MatrixMultiplication,128,19,0.020608,0.037440,0.010528,0.275220,PASS
OpenCL,MatrixMultiplication,128,20,0.020544,0.036512,0.010496,0.254120,PASS
OpenCL,MatrixMultiplication,128,21,0.020704,0.036576,0.010560,0.252077,PASS
OpenCL,MatrixMultiplication,128,22,0.020384,0.035936,0.010528,0.252223,PASS
OpenCL,MatrixMultiplication,128,23,0.020448,0.036704,0.010528,0.250417,PASS
OpenCL,MatrixMultiplication,128,24,0.020448,0.038208,0.010528,0.294068,PASS
OpenCL,MatrixMultiplication,128,25,0.020448,0.036992,0.011584,0.258856,PASS
OpenCL,MatrixMultiplication,128,26,0.020416,0.036896,0.010528,0.253319,PASS
OpenCL,MatrixMultiplication,128,27,0.020576,0.037792,0.010496,0.274741,PASS
OpenCL,MatrixMultiplication,128,28,0.020512,0.036640,0.010528,0.250002,PASS
OpenCL,MatrixMultiplication,128,29,0.020704,0.038400,0.010560,0.310587,PASS
OpenCL,MatrixMultiplication,128,30,0.020544,0.036928,0.010528,0.253153,PASS
OpenCL,MatrixMultiplication,256,1,0.088160,0.222112,0.039520,0.616123,PASS
OpenCL,MatrixMultiplication,256,2,0.088512,0.220352,0.039552,0.615538,PASS
OpenCL,MatrixMultiplication,256,3,0.088160,0.223008,0.039520,0.614823,PASS
OpenCL,MatrixMultiplication,256,4,0.088192,0.223616,0.039552,0.619558,PASS
OpenCL,MatrixMultiplication,256,5,0.087872,0.225600,0.039488,0.615862,PASS
OpenCL,MatrixMultiplication,256,6,0.087904,0.223008,0.039520,0.613611,PASS
OpenCL,MatrixMultiplication,256,7,0.088064,0.222112,0.039552,0.611698,PASS
OpenCL,MatrixMultiplication,256,8,0.088128,0.223456,0.040800,0.614517,PASS
OpenCL,MatrixMultiplication,256,9,0.088192,0.223840,0.039712,0.620507,PASS
OpenCL,MatrixMultiplication,256,10,0.088320,0.223936,0.039552,0.650191,PASS
OpenCL,MatrixMultiplication,256,11,0.088000,0.223552,0.039552,0.615624,PASS
