Framework,Benchmark,ProblemSize,Iteration,HostToDevice_ms,Kernel_ms,DeviceToHost_ms,Total_ms,Status
OpenCL,Reduction,100000,1,0.066176,0.043424,0.001504,0.329581,PASS
OpenCL,Reduction,100000,2,0.066592,0.043008,0.001568,0.328269,PASS
OpenCL,Reduction,100000,3,0.066144,0.044128,0.001504,0.355814,PASS
OpenCL,Reduction,100000,4,0.066304,0.042784,0.001504,0.326562,PASS
OpenCL,Reduction,100000,5,0.066432,0.043456,0.001504,0.326922,PASS
OpenCL,Reduction,100000,6,0.066368,0.043168,0.001504,0.326991,PASS
OpenCL,Reduction,100000,7,0.066464,0.043424,0.001504,0.343724,PASS
OpenCL,Reduction,100000,8,0.066496,0.042784,0.001504,0.336352,PASS
OpenCL,Reduction,100000,9,0.066176,0.043136,0.001504,0.326801,PASS
OpenCL,Reduction,100000,10,0.066368,0.042464,0.001472,0.322334,PASS
OpenCL,Reduction,100000,11,0.070784,0.043744,0.001504,0.379242,PASS
OpenCL,Reduction,100000,12,0.066336,0.043200,0.001504,0.330184,PASS
OpenCL,Reduction,100000,13,0.066496,0.044064,0.001504,0.330158,PASS
OpenCL,Reduction,100000,14,0.066208,0.042720,0.001472,0.326127,PASS
OpenCL,Reduction,100000,15,0.066464,0.042976,0.001504,0.326643,PASS
OpenCL,Reduction,100000,16,0.066272,0.042848,0.001504,0.326304,PASS
OpenCL,Reduction,100000,17,0.066368,0.046784,0.001504,0.345201,PASS
OpenCL,Reduction,100000,18,0.066368,0.043360,0.001504,0.327534,PASS
OpenCL,Reduction,100000,19,0.066336,0.043616,0.001504,0.328440,PASS
OpenCL,Reduction,100000,20,0.070880,0.043168,0.001504,0.368185,PASS
OpenCL,Reduction,100000,21,0.066400,0.042752,0.001504,0.346752,PASS
OpenCL,Reduction,100000,22,0.066816,0.043232,0.001472,0.325780,PASS
OpenCL,Reduction,100000,23,0.066368,0.042848,0.001568,0.328886,PASS
OpenCL,Reduction,100000,24,0.066432,0.043456,0.001504,0.325344,PASS
OpenCL,Reduction,100000,25,0.066080,0.043520,0.001472,0.340425,PASS
OpenCL,Reduction,100000,26,0.066208,0.043360,0.001504,0.329630,PASS
OpenCL,Reduction,100000,27,0.066528,0.042752,0.001504,0.326974,PASS
OpenCL,Reduction,100000,28,0.066272,0.047008,0.001504,0.376099,PASS
OpenCL,Reduction,100000,29,0.066208,0.043296,0.001504,0.326443,PASS
OpenCL,Reduction,100000,30,0.066304,0.043360,0.001504,0.325772,PASS
OpenCL,Reduction,500000,1,0.395488,0.052992,0.001632,0.890237,PASS
OpenCL,Reduction,500000,2,0.392480,0.053408,0.001632,0.889968,PASS
OpenCL,Reduction,500000,3,0.398400,0.053472,0.001600,0.904530,PASS
OpenCL,Reduction,500000,4,0.392576,0.053568,0.001664,0.914021,PASS
OpenCL,Reduction,500000,5,0.390624,0.053824,0.001632,0.883106,PASS
OpenCL,Reduction,500000,6,0.397600,0.053184,0.001632,0.899451,PASS
OpenCL,Reduction,500000,7,0.396032,0.053408,0.001632,0.893355,PASS
OpenCL,Reduction,500000,8,0.398912,0.054240,0.001632,0.918858,PASS
OpenCL,Reduction,500000,9,0.389568,0.053152,0.001600,0.879339,PASS
OpenCL,Reduction,500000,10,0.393920,0.053632,0.001696,0.888222,PASS
OpenCL,Reduction,500000,11,0.393344,0.053280,0.001664,0.887883,PASS
OpenCL,Reduction,500000,12,0.396160,0.052736,0.001696,0.895594,PASS
OpenCL,Reduction,500000,13,0.393856,0.053984,0.001696,0.894591,PASS
OpenCL,Reduction,500000,14,0.398720,0.053760,0.001632,0.910527,PASS
OpenCL,Reduction,500000,15,0.392960,0.053280,0.001632,0.891458,PASS
