Framework,Benchmark,ProblemSize,Iteration,HostToDevice_ms,Kernel_ms,DeviceToHost_ms,Total_ms,Status
OpenCL,VectorAddition,100000,1,0.132480,0.015424,0.060288,0.639118,PASS
OpenCL,VectorAddition,100000,2,0.145472,0.012576,0.060704,0.798050,PASS
OpenCL,VectorAddition,100000,3,0.132480,0.014944,0.060288,0.621316,PASS
OpenCL,VectorAddition,100000,4,0.132608,0.014848,0.060288,0.652343,PASS
OpenCL,VectorAddition,100000,5,0.132480,0.014656,0.060256,0.616443,PASS
OpenCL,VectorAddition,100000,6,0.132288,0.015136,0.060288,0.627686,PASS
OpenCL,VectorAddition,100000,7,0.137760,0.012544,0.060256,0.741876,PASS
OpenCL,VectorAddition,100000,8,0.132736,0.014912,0.060288,0.643184,PASS
OpenCL,VectorAddition,100000,9,0.132832,0.014304,0.060288,0.626246,PASS
OpenCL,VectorAddition,100000,10,0.132576,0.014304,0.060256,0.621758,PASS
OpenCL,VectorAddition,100000,11,0.132448,0.014432,0.060288,0.617129,PASS
OpenCL,VectorAddition,100000,12,0.132832,0.012544,0.066464,0.816336,PASS
OpenCL,VectorAddition,100000,13,0.132608,0.016736,0.060384,0.701281,PASS
OpenCL,VectorAddition,100000,14,0.132352,0.017056,0.060288,0.700008,PASS
OpenCL,VectorAddition,100000,15,0.132640,0.012544,0.060288,0.669747,PASS
OpenCL,VectorAddition,100000,16,0.132864,0.014304,0.061632,0.626660,PASS
OpenCL,VectorAddition,100000,17,0.132736,0.014336,0.060288,0.626472,PASS
OpenCL,VectorAddition,100000,18,0.132512,0.014784,0.060288,0.618755,PASS
OpenCL,VectorAddition,100000,19,0.132544,0.014560,0.060288,0.616791,PASS
OpenCL,VectorAddition,100000,20,0.137408,0.012608,0.067776,0.720826,PASS
OpenCL,VectorAddition,100000,21,0.132512,0.014144,0.060256,0.627456,PASS
OpenCL,VectorAddition,100000,22,0.132160,0.014816,0.060288,0.620722,PASS
OpenCL,VectorAddition,100000,23,0.132448,0.014880,0.060288,0.614710,PASS
OpenCL,VectorAddition,100000,24,0.132608,0.014336,0.060256,0.616209,PASS
OpenCL,VectorAddition,100000,25,0.132512,0.015232,0.060288,0.629832,PASS
OpenCL,VectorAddition,100000,26,0.133120,0.015104,0.060224,0.673436,PASS
OpenCL,VectorAddition,100000,27,0.132576,0.015776,0.060224,0.703645,PASS
OpenCL,VectorAddition,100000,28,0.132672,0.014624,0.060320,0.620491,PASS
OpenCL,VectorAddition,100000,29,0.132416,0.014784,0.060320,0.638181,PASS
OpenCL,VectorAddition,100000,30,0.132288,0.014496,0.060256,0.616062,PASS
OpenCL,VectorAddition,500000,1,0.817216,0.095008,0.302656,2.209818,PASS
OpenCL,VectorAddition,500000,2,0.799168,0.096640,0.302496,2.073652,PASS
OpenCL,VectorAddition,500000,3,0.752320,0.097408,0.302432,1.986881,PASS
OpenCL,VectorAddition,500000,4,0.750080,0.095360,0.308384,2.059624,PASS
OpenCL,VectorAddition,500000,5,0.800992,0.094880,0.316576,2.048744,PASS
OpenCL,VectorAddition,500000,6,0.797088,0.096480,0.302464,2.162627,PASS
OpenCL,VectorAddition,500000,7,0.786048,0.096000,0.309504,2.075494,PASS
OpenCL,VectorAddition,500000,8,0.749408,0.096960,0.302528,1.959779,PASS
OpenCL,VectorAddition,500000,9,0.769632,0.096256,0.302176,2.061911,PASS
OpenCL,VectorAddition,500000,10,0.785792,0.093472,0.302656,2.054225,PASS
OpenCL,VectorAddition,500000,11,0.769856,0.097472,0.302464,1.992272,PASS
OpenCL,VectorAddition,500000,12,0.752288,0.094016,0.302240,1.938469,PASS
OpenCL,VectorAddition,500000,13,0.776992,0.092416,0.302656,2.082153,PASS
OpenCL,VectorAddition,500000,14,0.833248,0.098272,0.302432,2.179623,PASS
OpenCL,VectorAddition,500000,15,0.766624,0.094816,0.302528,1.967078,PASS
OpenCL,VectorAddition,500000,16,0.785984,0.095936,0.302304,2.111585,PASS
OpenCL,VectorAddition,500000,17,0.752064,0.127808,0.303552,1.969269,PASS
OpenCL,VectorAddition,500000,18,0.810592,0.096768,0.302496,2.104934,PASS
OpenCL,VectorAddition,500000,19,0.764544,0.095840,0.302304,1.977172,PASS
OpenCL,VectorAddition,500000,20,0.805312,0.094944,0.302240,2.090275,PASS
OpenCL,VectorAddition,500000,21,0.758432,0.095200,0.309600,1.991277,PASS
OpenCL,VectorAddition,500000,22,0.801600,0.097984,0.302560,2.078947,PASS
OpenCL,VectorAddition,500000,23,0.783744,0.093952,0.302400,2.209558,PASS
OpenCL,VectorAddition,500000,24,0.749984,0.095616,0.302144,1.936696,PASS
OpenCL,VectorAddition,500000,25,0.758688,0.094464,0.302240,1.946781,PASS
OpenCL,VectorAddition,500000,26,0.765984,0.095136,0.302432,1.968473,PASS
OpenCL,VectorAddition,500000,27,0.816928,0.131008,0.302368,2.100005,PASS
OpenCL,VectorAddition,500000,28,0.761504,0.098784,0.308736,1.993388,PASS
OpenCL,VectorAddition,500000,29,0.766208,0.096384,0.302400,1.972176,PASS
OpenCL,VectorAddition,500000,30,0.790400,0.097344,0.302432,2.113432,PASS
OpenCL,VectorAddition,1000000,1,1.793696,0.190496,0.605376,3.489649,PASS
OpenCL,VectorAddition,1000000,2,1.695872,0.187616,0.605664,3.331239,PASS
OpenCL,VectorAddition,1000000,3,1.709888,0.190016,0.605600,3.303341,PASS
OpenCL,VectorAddition,1000000,4,1.681856,0.189376,0.611680,3.290481,PASS
OpenCL,VectorAddition,1000000,5,1.878912,0.188192,0.605888,3.554774,PASS
OpenCL,VectorAddition,1000000,6,1.676192,0.192800,0.605664,3.374661,PASS
OpenCL,VectorAddition,1000000,7,1.671424,0.188640,0.605600,3.273838,PASS
OpenCL,VectorAddition,1000000,8,1.663456,0.187296,0.618624,3.268516,PASS
OpenCL,VectorAddition,1000000,9,1.721792,0.189344,0.605536,3.353430,PASS
OpenCL,VectorAddition,1000000,10,1.658848,0.186848,0.605504,3.251556,PASS
OpenCL,VectorAddition,1000000,11,1.692704,0.190336,0.605344,3.346569,PASS
OpenCL,VectorAddition,1000000,12,1.647808,0.222624,0.606208,3.287293,PASS
OpenCL,VectorAddition,1000000,13,1.830144,0.190752,0.605984,3.454366,PASS
OpenCL,VectorAddition,1000000,14,1.700160,0.183328,0.616896,3.370074,PASS
OpenCL,VectorAddition,1000000,15,1.728000,0.192192,0.605664,3.447588,PASS
OpenCL,VectorAddition,1000000,16,1.795584,0.188320,0.644384,3.493009,PASS
OpenCL,VectorAddition,1000000,17,1.640256,0.187200,0.612352,3.233061,PASS
OpenCL,VectorAddition,1000000,18,1.679232,0.190848,0.605280,3.285539,PASS
OpenCL,VectorAddition,1000000,19,1.654208,0.186528,0.605472,3.255368,PASS
OpenCL,VectorAddition,1000000,20,1.813472,0.191008,0.612544,3.497180,PASS
OpenCL,VectorAddition,1000000,21,1.721408,0.190400,0.606944,3.323087,PASS
OpenCL,VectorAddition,1000000,22,1.768704,0.191488,0.605472,3.487640,PASS
OpenCL,VectorAddition,1000000,23,1.823680,0.188736,0.605408,3.529342,PASS
OpenCL,VectorAddition,1000000,24,1.823616,0.191808,0.606624,3.492603,PASS
OpenCL,VectorAddition,1000000,25,1.705312,0.188128,0.605536,3.323104,PASS
OpenCL,VectorAddition,1000000,26,1.672256,0.190016,0.619040,3.313540,PASS
OpenCL,VectorAddition,1000000,27,1.687648,0.187936,0.605792,3.293365,PASS
OpenCL,VectorAddition,1000000,28,1.764320,0.186912,0.607488,3.388104,PASS
OpenCL,VectorAddition,1000000,29,1.683008,0.187968,0.605568,3.301271,PASS
OpenCL,VectorAddition,1000000,30,1.655680,0.192320,0.605408,3.289489,PASS
OpenCL,VectorAddition,5000000,1,9.906848,0.922368,3.102720,14.822244,PASS
OpenCL,VectorAddition,5000000,2,9.999392,0.925536,3.083552,14.886457,PASS
OpenCL,VectorAddition,5000000,3,9.780960,0.918432,3.108160,14.683173,PASS
OpenCL,VectorAddition,5000000,4,9.588832,0.985216,3.082816,14.528670,PASS
OpenCL,VectorAddition,5000000,5,10.170784,0.924416,3.057728,15.142822,PASS
OpenCL,VectorAddition,5000000,6,9.835424,0.915584,3.038464,14.701872,PASS
OpenCL,VectorAddition,5000000,7,10.125216,0.922336,3.096032,15.060345,PASS
OpenCL,VectorAddition,5000000,8,9.574560,0.919424,3.046336,14.479642,PASS
OpenCL,VectorAddition,5000000,9,9.634496,0.928448,3.047840,14.487830,PASS
OpenCL,VectorAddition,5000000,10,9.717888,0.921344,3.033600,14.560175,PASS
OpenCL,VectorAddition,5000000,11,9.698560,0.921152,3.119680,14.607869,PASS
OpenCL,VectorAddition,5000000,12,9.671488,0.921568,3.039232,14.510438,PASS
OpenCL,VectorAddition,5000000,13,9.560576,0.927040,3.031776,14.381278,PASS
OpenCL,VectorAddition,5000000,14,10.127040,0.914496,3.073568,15.050882,PASS
OpenCL,VectorAddition,5000000,15,9.796384,0.916576,3.081824,14.712839,PASS
OpenCL,VectorAddition,5000000,16,9.718496,0.920064,3.107200,14.669383,PASS
OpenCL,VectorAddition,5000000,17,9.497632,0.927264,3.036864,14.329887,PASS
OpenCL,VectorAddition,5000000,18,9.903072,0.920352,3.055520,14.814808,PASS
OpenCL,VectorAddition,5000000,19,9.500704,0.920928,3.045952,14.317378,PASS
OpenCL,VectorAddition,5000000,20,9.622528,0.928384,3.034048,14.453847,PASS
OpenCL,VectorAddition,5000000,21,9.741824,0.921120,3.032160,14.569764,PASS
OpenCL,VectorAddition,5000000,22,9.715456,0.932064,3.057856,14.583805,PASS
OpenCL,VectorAddition,5000000,23,9.632512,0.918752,3.031936,14.448267,PASS
OpenCL,VectorAddition,5000000,24,9.620352,0.953888,3.031968,14.537163,PASS
OpenCL,VectorAddition,5000000,25,10.074176,0.920384,3.044128,14.960935,PASS
OpenCL,VectorAddition,5000000,26,9.473504,0.927808,3.070080,14.336845,PASS
OpenCL,VectorAddition,5000000,27,9.674880,0.928576,3.032544,14.515745,PASS
OpenCL,VectorAddition,5000000,28,9.689504,0.926560,3.033088,14.671322,PASS
OpenCL,VectorAddition,5000000,29,9.437152,0.925344,3.038944,14.254461,PASS
OpenCL,VectorAddition,5000000,30,9.552224,0.932608,3.032160,14.398596,PASS
OpenCL,VectorAddition,10000000,1,19.452352,2.176352,6.205152,28.919739,PASS
OpenCL,VectorAddition,10000000,2,18.468288,1.844448,6.107232,27.393874,PASS
OpenCL,VectorAddition,10000000,3,18.446240,1.840320,6.083520,27.342835,PASS
OpenCL,VectorAddition,10000000,4,18.388096,1.919648,6.062816,27.331851,PASS
OpenCL,VectorAddition,10000000,5,19.087008,2.075232,6.269536,28.434883,PASS
OpenCL,VectorAddition,10000000,6,18.599072,1.840864,6.104736,27.532043,PASS
OpenCL,VectorAddition,10000000,7,19.088992,1.833632,6.106016,28.025694,PASS
OpenCL,VectorAddition,10000000,8,18.293792,1.855136,6.062624,27.137616,PASS
OpenCL,VectorAddition,10000000,9,19.138560,1.831520,6.167072,28.157480,PASS
OpenCL,VectorAddition,10000000,10,18.431136,1.842272,6.108416,27.362245,PASS
OpenCL,VectorAddition,10000000,11,18.450560,1.858880,6.062656,27.323910,PASS
OpenCL,VectorAddition,10000000,12,18.232576,2.086144,6.116736,27.396304,PASS
OpenCL,VectorAddition,10000000,13,18.345856,1.855968,6.089024,27.222327,PASS
OpenCL,VectorAddition,10000000,14,18.561440,1.848000,6.194432,27.575147,PASS
OpenCL,VectorAddition,10000000,15,18.455136,1.843904,6.090944,27.346521,PASS
OpenCL,VectorAddition,10000000,16,18.390816,1.857920,6.075712,27.362697,PASS
OpenCL,VectorAddition,10000000,17,18.263232,1.864032,6.067712,27.160121,PASS
OpenCL,VectorAddition,10000000,18,18.894304,1.840960,6.145568,27.840869,PASS
OpenCL,VectorAddition,10000000,19,18.396672,1.920512,6.138656,27.415299,PASS
OpenCL,VectorAddition,10000000,20,18.483456,1.839040,6.068480,27.347210,PASS
OpenCL,VectorAddition,10000000,21,19.045280,1.831584,6.126752,28.019965,PASS
OpenCL,VectorAddition,10000000,22,19.115456,2.164512,6.223872,28.547465,PASS
OpenCL,VectorAddition,10000000,23,18.404128,1.858560,6.082400,27.283910,PASS
OpenCL,VectorAddition,10000000,24,18.869664,2.102720,6.062560,28.126281,PASS
OpenCL,VectorAddition,10000000,25,18.322560,1.844448,6.084160,27.200907,PASS
OpenCL,VectorAddition,10000000,26,19.265504,1.855648,6.182496,28.325206,PASS
OpenCL,VectorAddition,10000000,27,19.101184,1.845408,6.160128,28.114045,PASS
OpenCL,VectorAddition,10000000,28,18.508160,1.846816,6.118016,27.424365,PASS
OpenCL,VectorAddition,10000000,29,19.031776,1.833792,6.118592,28.021076,PASS
OpenCL,VectorAddition,10000000,30,18.363488,1.926816,6.061728,27.297898,PASS
